Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C13, C14, C17, C18, C19, C2, C21, C22, C27, C29, C34, C35, C36, C38, C4, C40, C41, C42, C43, C44, C7, C8",0402,25,100n,C307331
"C11, C9",0402,2,15p,C1548
"C15, C16, C20, C3, C5, C6",0402,6,4u7,C23733
"C23, C24, C25, C26, C28, C30, C31, C32, C33",1206,9,22u,C12891
C37,0402,1,1u,C52923
"C39, C45, C46",0603,3,10u,C96446
"D1, D2, D3",0805,3,KT-0805Y,C2296
D4,D_SMA,1,SS54,C22452
"D5, D6, D7",0603,3,KT-0603R,C2286
FB1,0603,1,GZ1608D601TF,C1002
J11,microSD_External_Pin,1,MSD-1-A,C20619272
L1,0806_Polarized,1,3u3,C42411119
"Q1, Q2, Q3",SOT-23,3,AO3400A,C20917
"R1, R2, R9",0402,3,1k,C11702
"R10, R14, R18, R21, R22, R29, R30",0402,7,4k7,C25900
"R11, R13, R15, R16, R19",0402,5,330R,C25104
"R12, R17, R20",0603,3,2k7,C13167
"R23, R24, R25, R26, R27, R28, R31, R32, R33",0402,9,10k,C25744
"R3, R4",0402,2,27R,C25100
"R5, R6, R7",0402,3,220R,C25091
R8,0402,1,33R,C25105
U1,QFN-80-1EP_10x10mm_P0.4mm_EP3.4x3.4mm,1,RP2354B,C39843328
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U3,BMP585,1,BMP585,C18184976
U4,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVSIQ,C97521
U5,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DSV32XTR,C22461202
U6,ublox_MAX,1,MAX-M10S,C4153167
U7,RAK3172,1,RAK3172-8-SM-NI,C5452091
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,C20625731
