Designator,Mid X,Mid Y,Rotation,Layer
C1,117.669124,-77.410228,90.0,top
C10,127.38,-85.5,0.0,top
C11,115.86,-95.826517,270.0,top
C12,126.9,-89.461845,270.0,top
C13,112.247699,-84.8,180.0,top
C14,112.25,-86.914753,180.0,top
C15,120.79,-92.56,270.0,top
C16,122.87,-76.86,0.0,top
C17,113.3,-78.9,90.0,top
C18,127.38,-84.5,0.0,top
C19,118.155467,-92.558927,270.0,top
C2,119.165276,-77.415884,90.0,top
C20,125.23,-67.35,90.0,top
C21,126.4,-67.35,90.0,top
C22,129.6,-77.4,180.0,top
C23,132.51,-79.22,270.0,top
C24,120.71,-105.43,90.0,top
C25,137.11,-104.03,180.0,bottom
C26,137.11,-106.59,180.0,bottom
C27,122.57,-106.13,90.0,top
C28,131.61,-105.42703,90.0,top
C29,133.47,-106.12703,90.0,top
C3,125.21,-77.43,90.0,top
C30,137.105,-95.25,180.0,bottom
C31,137.105,-97.81,180.0,bottom
C32,137.12,-86.53,180.0,bottom
C33,137.12,-89.09,180.0,bottom
C34,99.45,-77.17,90.0,top
C35,105.64,-77.16,90.0,top
C36,100.312364,-86.925476,90.0,bottom
C37,99.107324,-86.923259,90.0,bottom
C38,111.39,-104.675,270.0,bottom
C39,112.829999,-104.970444,270.0,bottom
C4,120.145276,-77.415884,90.0,top
C40,107.5825,-77.63,90.0,top
C41,110.2925,-75.19,180.0,top
C42,105.789255,-70.197577,270.0,top
C43,98.71,-91.07,90.0,top
C44,106.86,-70.19924,270.0,top
C45,97.140526,-91.22,90.0,top
C46,104.398844,-70.66,270.0,top
C5,122.88,-77.9,0.0,top
C6,128.95,-81.0,90.0,top
C7,127.39,-80.34,0.0,top
C8,127.4,-81.6,0.0,top
C9,121.82,-95.066517,270.0,top
D1,97.65,-83.318113,0.0,top
D2,97.65,-85.81,0.0,top
D3,97.65,-88.219999,0.0,top
D4,119.28,-67.9,180.0,top
D5,138.56,-100.47,0.0,bottom
D6,138.555,-91.69,0.0,bottom
D7,138.57,-82.97,0.0,bottom
FB1,130.271616,-80.693517,270.0,top
J11,99.12,-103.13,90.0,bottom
L1,123.11,-75.24,0.0,top
Q1,133.17,-101.16,270.0,bottom
Q2,133.165,-92.38,270.0,bottom
Q3,133.18,-83.66,270.0,bottom
R1,118.69,-100.49,0.0,top
R10,133.76,-103.72,180.0,bottom
R11,131.75,-103.73,0.0,bottom
R12,141.69,-100.46,180.0,bottom
R13,118.504058,-106.68,90.0,top
R14,133.755,-94.94,180.0,bottom
R15,129.404058,-106.67703,90.0,top
R16,131.745,-94.95,0.0,bottom
R17,141.685,-91.68,180.0,bottom
R18,133.77,-86.22,180.0,bottom
R19,131.76,-86.23,0.0,bottom
R2,118.41,-70.42,0.0,top
R20,141.7,-82.96,180.0,bottom
R21,100.97,-81.76,0.0,top
R22,102.99,-81.76,180.0,top
R23,98.43,-89.8425,270.0,bottom
R24,108.032827,-87.245326,180.0,bottom
R25,102.16,-87.4025,180.0,bottom
R26,114.78,-101.37,270.0,bottom
R27,111.54,-109.085,90.0,bottom
R28,111.92,-100.88,0.0,bottom
R29,111.68,-80.62,180.0,top
R3,121.23,-75.16,90.0,top
R30,109.61,-80.63,0.0,top
R31,107.968844,-70.21,90.0,top
R32,100.22,-91.55,0.0,top
R33,102.217771,-92.072277,0.0,top
R4,120.22,-75.16,270.0,top
R5,100.745,-83.318113,0.0,top
R6,100.745,-85.81,0.0,top
R7,100.745,-88.23845,0.0,top
R8,126.548424,-77.388822,270.0,top
R9,119.77,-92.57,270.0,top
U1,120.1875,-85.0,90.0,top
U2,131.536563,-72.352986,90.0,top
U3,102.535,-77.64,90.0,top
U4,103.91,-90.9925,270.0,bottom
U5,110.3925,-77.63,180.0,top
U6,102.730559,-62.57,90.0,top
U7,104.46,-101.42,90.0,top
Y1,118.84,-95.456517,0.0,top
